"X","Tenure","Gender","EducationLevel","LoanStatus","NetPromoterScore","TransactionFrequency","Surname","Age","Geography","ComplaintsCount","HasCrCard","EstimatedSalary","IsActiveMember","AvgTransactionAmount","CustomerSegment","MaritalStatus","DigitalEngagementScore","ID","CreditScore","SavingsAccountFlag","Balance","NumOfProducts","Exited"
1239,NA,"Male","University","No loan",8,28,"Sanchez",43,NA,0,NA,141679.73,0,95.957953817416,"Mass Market","Married",50,NA,668,NA,NA,1,0
1240,9,"Female",NA,NA,10,38,NA,34,"France",0,NA,24255.21,0,NA,NA,"Married",85,NA,623,NA,0,1,0
1241,8,"Male",NA,"No loan",2,24,"Fang",33,NA,0,NA,39451.09,1,181.228555524595,"Affluent",NA,NA,NA,670,1,126679.69,NA,0
1242,NA,"Female","University","No loan",8,42,"Ferrari",NA,NA,NA,1,3497.43,1,110.398427862468,"Mass Market","Married",27,NA,757,NA,131433.33,NA,1
1243,NA,NA,NA,NA,NA,34,NA,31,"France",0,1,186064.34,1,90.9809765922263,NA,NA,NA,NA,770,0,NA,NA,0
1244,4,"Male","University","No loan",8,NA,"Ni",37,"Spain",0,0,88838.14,1,NA,"Mass Market","Married",NA,NA,NA,NA,101470.29,1,0
1245,1,"Male",NA,"Default risk",0,NA,NA,NA,"Spain",4,1,92816.86,0,192.88161056209,"High Net Worth","Widowed",68,NA,632,0,NA,1,0
1246,8,NA,"High School",NA,7,25,"Edmondstone",41,"France",0,NA,28276.83,0,NA,"Affluent","Single",78,NA,NA,0,0,2,0
1247,4,NA,"University","No loan",10,24,NA,38,"Germany",0,NA,NA,NA,NA,"Mass Market","Married",50,NA,798,1,129055.13,1,0
1248,4,"Female","University","No loan",NA,NA,"Obiajulu",NA,"France",NA,1,NA,NA,NA,NA,NA,67,NA,NA,1,NA,NA,0
1249,NA,"Female",NA,"Active loan",7,35,"Sharpe",34,NA,1,NA,161559.12,1,82.0073780072251,NA,"Divorced",60,NA,691,NA,0,2,0
1250,6,NA,NA,"Active loan",NA,NA,"Davis",46,"France",0,NA,161767.38,0,56.0034238329134,"Affluent","Single",56,NA,725,0,NA,2,0
1251,2,"Male","Postgraduate","Active loan",NA,NA,"Kuznetsova",NA,NA,NA,NA,199645.45,1,99.1321397594436,NA,NA,60,NA,724,NA,127892.57,2,0
1252,8,"Male","University","No loan",NA,26,"Ijendu",44,"France",0,1,175314.87,NA,108.533182697965,"Mass Market","Married",59,NA,NA,NA,0,NA,0
1253,8,"Male","University",NA,NA,NA,"Esposito",44,"France",NA,NA,109153.04,NA,299.734816742813,NA,"Married",66,NA,597,NA,78128.13,NA,0
1254,10,"Male","Other","Default risk",0,NA,"Clements",47,"France",3,1,NA,0,103.888383822581,"High Net Worth","Widowed",NA,NA,NA,0,0,2,0
1255,0,NA,"Other","Default risk",0,37,"Gray",41,"Germany",NA,1,NA,1,NA,"High Net Worth",NA,NA,NA,567,0,134378.89,NA,0
1256,0,"Male","Postgraduate","Active loan",3,25,"Watts",36,"Spain",1,NA,179540.73,1,NA,NA,NA,NA,NA,382,0,0,1,1
1257,3,NA,"University","No loan",8,37,"Jones",24,"France",NA,1,158615.41,0,170.048063665322,"Mass Market","Married",NA,NA,NA,1,110495.27,NA,0
1258,9,"Male","University","No loan",9,NA,"Stanley",39,NA,0,NA,191063.36,0,34.7142212183308,NA,"Married",81,NA,576,1,NA,1,0
1259,5,"Female","Postgraduate","Active loan",3,28,"Folliero",26,"France",NA,1,182612.38,0,NA,NA,"Divorced",64,NA,630,0,0,2,0
1260,6,"Male","University",NA,10,29,"De Luca",64,"Spain",0,0,NA,NA,139.829721141301,NA,"Married",NA,NA,663,1,0,2,0
1261,10,"Female","High School","No loan",9,32,"Davis",NA,"France",0,1,79734.23,1,46.344414651934,"Affluent",NA,NA,NA,697,1,NA,NA,0
1262,NA,"Male",NA,"No loan",10,25,NA,NA,"Germany",0,1,190631.23,0,NA,"Mass Market",NA,27,NA,778,1,NA,2,0
1263,NA,"Female","University","No loan",8,34,"Christie",44,"France",NA,1,137136.29,0,NA,"Mass Market","Married",82,NA,757,NA,NA,NA,0
1264,2,"Female",NA,"Active loan",NA,NA,"Ko",NA,NA,1,1,171706.66,1,76.5954735063906,"High Net Worth","Divorced",39,NA,NA,0,NA,NA,0
1265,NA,NA,"High School","No loan",2,28,"Moseley",35,"Spain",NA,1,NA,0,NA,NA,"Single",35,NA,795,1,NA,2,0
1266,NA,"Female","University","No loan",10,NA,"Parry-Okeden",44,"France",0,1,NA,1,171.883193604876,"Mass Market",NA,52,NA,664,1,142989.69,1,1
1267,8,"Male","University",NA,10,31,"Hung",71,"Spain",0,1,198446.91,NA,272.382229590664,NA,NA,70,NA,727,NA,NA,1,1
1268,4,"Male",NA,"No loan",NA,36,"Sagese",NA,NA,0,NA,79450.61,NA,137.274208002337,"Affluent",NA,NA,NA,607,NA,148826.32,NA,0
1269,6,NA,"University","No loan",9,34,NA,34,"Spain",NA,1,582.59,0,257.597547198791,NA,"Married",75,NA,624,NA,NA,1,1
1270,NA,NA,"University","No loan",10,31,NA,NA,"France",0,NA,NA,NA,102.005145246504,"Mass Market",NA,75,NA,NA,1,167831.88,2,1
1271,7,"Male",NA,"Active loan",7,NA,"Liao",37,NA,1,1,144880.81,0,NA,"High Net Worth",NA,69,NA,653,0,135847.47,1,0
1272,9,NA,"Other","Default risk",0,NA,"McIntyre",34,"Spain",3,0,25339.29,1,64.0699182072929,NA,NA,54,NA,683,0,114609.55,2,0
1273,4,NA,"High School","No loan",2,22,"H?",NA,NA,0,NA,NA,NA,203.789513697292,"Affluent","Single",68,NA,723,NA,0,2,0
1274,NA,"Female","High School","Active loan",6,NA,"Okonkwo",59,NA,0,1,NA,0,NA,"Affluent","Single",63,NA,525,0,55328.4,1,1
1275,NA,NA,"University","No loan",NA,42,"Donaldson",59,NA,0,1,NA,1,95.0328319878861,"Mass Market",NA,61,NA,NA,1,0,1,0
1276,5,"Female","University","No loan",10,31,"Downie",38,"France",0,1,NA,0,129.092837782234,NA,"Married",39,NA,660,1,110570.78,2,0
1277,0,"Male","Postgraduate",NA,3,39,"Yeh",47,"Spain",NA,NA,NA,NA,131.208266015033,"High Net Worth",NA,61,NA,792,0,0,1,1
1278,9,"Female","University","No loan",10,29,"Kuo",38,"Germany",0,1,NA,NA,NA,"Mass Market",NA,73,NA,NA,1,151766.71,1,0
1279,NA,"Male","High School","Active loan",NA,30,"Temple",NA,"Spain",NA,0,76304.73,1,NA,NA,NA,NA,NA,701,NA,103421.32,NA,0
1280,3,"Male","University","No loan",9,NA,"Nekrasova",40,"Spain",0,0,96097.65,0,139.467106334434,NA,"Married",65,NA,758,1,0,NA,0
1281,4,"Male",NA,"No loan",NA,26,"Yen",33,"France",0,1,NA,0,NA,"Mass Market","Married",84,NA,738,1,92676.3,1,0
1282,1,NA,NA,"No loan",8,41,"Webb",44,"Spain",0,1,NA,1,41.8335946039728,NA,"Married",NA,NA,545,1,0,2,0
1283,7,"Female","University","No loan",10,42,"Padovesi",46,"France",0,1,130590.35,0,45.1902223688006,NA,NA,50,NA,550,1,0,NA,0
1284,NA,"Male",NA,NA,NA,NA,"Brown",NA,"France",0,1,70849.47,1,91.4892895440824,NA,NA,66,NA,692,NA,154953.94,1,0
1285,8,"Male","University","No loan",9,39,"Onyemauchechukwu",28,"Spain",NA,1,137173.39,1,124.611907469394,"Mass Market",NA,76,NA,NA,NA,NA,1,0
1286,9,"Male","University",NA,8,26,"Law",37,"France",0,1,60194.05,0,153.796089444047,"Mass Market","Married",58,NA,NA,NA,124969.13,1,0
1287,NA,"Female",NA,"Default risk",NA,NA,"Winter",NA,"France",NA,1,34180.33,0,53.6590297515525,"High Net Worth","Divorced",NA,NA,NA,0,NA,NA,0
1288,6,"Female","University","No loan",10,27,"Page",27,"France",0,0,8996.79,0,223.483962776127,NA,"Married",53,NA,700,NA,NA,NA,0
1289,8,NA,"Postgraduate","Active loan",3,NA,"Porter",36,NA,NA,NA,168816.22,0,NA,NA,"Divorced",NA,NA,741,0,116993.43,2,0
1290,NA,"Male","University","No loan",8,NA,"Wofford",NA,"France",NA,NA,165614.4,1,112.500885033323,"Mass Market",NA,34,NA,643,NA,94443.77,1,0
1291,4,NA,"Postgraduate","Default risk",NA,28,"Rapuokwu",48,"France",2,0,146821.42,1,379.156890332191,"High Net Worth","Divorced",NA,NA,753,0,0,2,0
1292,1,NA,"University","No loan",8,NA,"Chibueze",27,"France",0,1,105887.04,1,151.291519042961,"Mass Market","Married",42,NA,627,1,NA,1,0
1293,10,"Female",NA,"Default risk",NA,NA,"Onwuemelie",44,NA,2,1,NA,NA,119.809416182494,NA,"Divorced",45,NA,751,NA,NA,2,0
1294,9,NA,NA,"No loan",10,NA,"Burt",48,NA,0,1,NA,1,163.733695404987,"Mass Market",NA,NA,NA,718,NA,0,2,0
1295,NA,"Male","High School","No loan",9,32,NA,35,"Spain",NA,1,127951.81,NA,112.877413324689,"Affluent","Single",NA,NA,710,1,NA,1,0
1296,7,NA,NA,"No loan",NA,31,"Parry-Okeden",26,"France",0,1,NA,0,34.7248628876578,"Mass Market","Married",NA,NA,NA,NA,0,2,0
1297,3,NA,"High School","No loan",2,NA,NA,NA,"Germany",NA,1,63846.36,0,NA,"Affluent","Single",67,NA,714,1,149887.49,2,0
1298,3,"Male","University","No loan",9,25,NA,70,NA,0,1,NA,1,NA,"Mass Market",NA,85,NA,NA,1,77356.92,NA,0
1299,3,NA,NA,NA,8,36,NA,39,"France",NA,NA,147662.33,NA,103.14575771766,"Mass Market","Married",69,NA,539,1,NA,2,0
1300,3,"Male","Postgraduate","Active loan",NA,34,NA,44,"Germany",1,1,82463.69,0,118.010886971023,"High Net Worth","Divorced",NA,NA,705,0,105934.96,1,0
1301,6,NA,"University","No loan",8,26,NA,48,NA,NA,1,184564.67,0,NA,"Mass Market","Married",67,NA,772,1,NA,1,1
1302,NA,"Female","University","No loan",10,NA,NA,59,"Germany",0,1,78365.75,0,277.29550392184,"Mass Market",NA,60,NA,506,1,NA,1,0
1303,NA,"Female","University","No loan",NA,21,NA,NA,NA,0,NA,57769.2,NA,47.3757994236914,"Mass Market",NA,62,NA,733,NA,83319.28,NA,0
1304,NA,"Female","High School","No loan",9,NA,"Chiu",32,"France",0,1,9902.39,0,71.0375379241986,"Mass Market","Married",59,NA,NA,1,0,2,0
1305,NA,"Male",NA,"No loan",10,NA,"Doherty",30,NA,0,NA,146154.06,0,116.479859882269,NA,"Married",62,NA,726,1,92847.59,NA,0
1306,1,NA,NA,"No loan",8,41,"McKay",34,NA,0,0,81175.25,NA,72.0971987169753,NA,"Married",72,NA,581,NA,0,NA,0
1307,NA,"Female",NA,"No loan",9,36,"Azikiwe",32,"Spain",0,NA,114565.35,1,101.398830627344,"Mass Market","Married",84,NA,NA,1,NA,1,0
1308,8,NA,"University","No loan",10,NA,"Wilkie",33,"Spain",NA,1,NA,NA,69.3010584761667,"Mass Market",NA,76,NA,663,1,122528.18,1,0
1309,2,NA,NA,"Default risk",0,NA,NA,NA,"France",NA,1,139816.1,1,181.065742391206,NA,"Widowed",NA,NA,615,NA,97440.02,2,0
1310,3,"Male","University","No loan",10,NA,NA,59,"Germany",NA,NA,NA,1,51.667839415783,"Mass Market","Married",40,NA,643,1,170331.37,1,0
1311,6,"Male","University",NA,10,33,"Wallace",35,"France",NA,1,87219.41,NA,59.7858170178083,"Mass Market",NA,70,NA,684,1,135871.5,NA,0
1312,8,NA,NA,"No loan",10,NA,"Baldwin",26,NA,NA,1,19324.5,1,145.403941332636,"Mass Market","Married",NA,NA,829,NA,NA,2,0
1313,NA,"Male",NA,"No loan",9,38,"Forbes",NA,NA,0,NA,185094.48,NA,173.550338689596,"Affluent","Single",59,NA,557,NA,0,NA,0
1314,NA,"Male","University",NA,9,34,"Medland",44,NA,0,0,158171.36,0,229.508309386945,"Mass Market","Married",NA,NA,850,1,NA,NA,0
1315,NA,NA,"University","No loan",8,30,"Zhdanova",25,"France",NA,0,187048.72,0,30.7722661413781,NA,"Married",62,NA,607,1,0,2,0
1316,6,"Female",NA,"No loan",8,37,"Walker",61,NA,NA,1,45214.04,NA,68.4710257553334,"Mass Market",NA,72,NA,570,1,142105.35,1,0
1317,3,"Female","High School","Active loan",NA,NA,"Tung",33,NA,0,0,141426.78,1,159.426662597331,"Affluent","Single",59,NA,809,1,0,2,0
1318,NA,NA,NA,NA,8,NA,"Mazzi",34,"France",NA,1,147794.63,NA,42.9140454231325,"Mass Market","Married",NA,NA,NA,1,123971.51,2,0
1319,NA,"Male","University","No loan",10,NA,NA,NA,"Spain",0,NA,14234.31,NA,33.5316582880763,"Mass Market",NA,57,NA,514,1,NA,2,0
1320,NA,NA,"Postgraduate",NA,1,NA,NA,36,"France",2,1,NA,1,131.032993418622,"High Net Worth",NA,31,NA,NA,0,NA,2,0
1321,NA,"Female","Postgraduate",NA,3,27,NA,NA,"Germany",1,NA,193715,1,177.162230956314,"High Net Worth","Divorced",72,NA,729,0,131513.26,NA,0
1322,9,NA,"High School","Active loan",5,NA,"Marshall",NA,"France",0,0,NA,1,84.5543958805505,"Affluent",NA,70,NA,806,NA,0,2,0
1323,2,"Female",NA,"Default risk",1,NA,"Tisdall",32,"Germany",2,1,NA,0,93.7744802235798,NA,"Divorced",28,NA,512,NA,123403.85,2,0
1324,8,NA,"High School","Active loan",4,30,"Otutodilinna",NA,NA,NA,0,107876.2,1,54.4697060654678,"Affluent",NA,61,NA,NA,NA,84390.8,2,0
1325,9,"Female","High School",NA,6,NA,"She",NA,NA,0,1,134638.97,1,57.8281673021986,"Affluent",NA,63,NA,832,0,107648.94,2,0
1326,9,"Female","High School",NA,NA,NA,"Pope",NA,"Germany",0,0,177852.57,NA,NA,"Affluent","Single",44,NA,715,NA,102277.52,NA,1
1327,2,"Male","High School","Active loan",6,NA,NA,41,"France",0,1,14083.12,NA,NA,"Affluent",NA,NA,NA,678,0,148088.11,1,0
1328,4,"Female","University","No loan",NA,NA,"Davide",42,NA,0,NA,NA,1,240.354366102062,"Mass Market","Married",45,NA,NA,1,64740.12,NA,0
1329,10,"Male","Postgraduate","Default risk",NA,NA,NA,31,"Spain",NA,1,125777.28,1,79.8672861018354,NA,NA,43,NA,685,0,135213.71,NA,0
1330,NA,NA,"University",NA,NA,NA,"Farber",37,NA,0,NA,192721.98,0,170.430185131644,"Mass Market","Married",60,NA,634,1,143258.85,2,0
1331,NA,NA,"University","No loan",10,NA,"Chienezie",57,NA,NA,0,NA,NA,NA,"Mass Market","Married",NA,NA,685,1,NA,NA,0
1332,4,"Male","Postgraduate",NA,NA,NA,"Lin",26,"France",1,1,147600.54,0,93.3327051187183,"High Net Worth",NA,NA,NA,584,0,NA,NA,0
1333,9,NA,NA,NA,10,34,"Kang",43,NA,0,0,184570.04,0,NA,"Mass Market",NA,NA,NA,735,1,98807.45,NA,1
1334,9,NA,"University",NA,NA,34,"Emery",NA,"Spain",0,1,115441.66,1,95.8584322386204,"Mass Market",NA,76,NA,733,1,NA,NA,0
1335,6,"Female","High School",NA,5,NA,"Cooper",46,NA,NA,1,170008.74,NA,74.6891924446807,"Affluent",NA,NA,NA,NA,1,NA,NA,0
1336,2,NA,"University",NA,NA,27,"Savage",NA,NA,0,0,123214.74,1,154.945902769443,"Mass Market","Married",53,NA,594,1,126615.94,2,0
1337,9,"Female","Postgraduate","Active loan",7,29,NA,40,NA,NA,NA,198814.24,0,67.475973002088,NA,"Divorced",66,NA,511,0,124401.6,NA,1
1338,1,"Female",NA,"No loan",10,33,"Okwudiliolisa",NA,"France",0,0,69608.48,NA,128.46470003384,NA,"Married",81,NA,679,1,NA,2,0
1339,10,"Male","University","No loan",NA,28,"Tseng",NA,"France",NA,1,195209.4,0,121.057917370018,"Mass Market","Married",95,NA,NA,1,NA,2,0
1340,9,"Female","University",NA,NA,NA,NA,46,"France",NA,1,81014.5,NA,59.8493796820316,"Mass Market",NA,54,NA,418,1,0,1,1
1341,5,"Male","High School",NA,7,42,NA,40,NA,0,1,49722.34,0,103.896981438833,"Affluent","Single",46,NA,620,0,108197.11,NA,0
1342,6,"Female","University","No loan",10,28,NA,30,"France",0,NA,179206.92,0,78.6539872724449,"Mass Market",NA,65,NA,NA,1,0,NA,0
1343,9,"Male","High School","Active loan",NA,33,"Sung",24,"France",0,1,51959.82,1,NA,"Affluent","Single",NA,NA,655,NA,107065.31,1,0
1344,0,"Female","University","No loan",10,35,"Shubina",NA,"France",NA,0,NA,NA,69.9383486432173,"Mass Market","Married",NA,NA,507,1,106942.08,1,0
1345,5,NA,"University","No loan",NA,34,"Boyle",35,"France",0,NA,78397.24,1,NA,"Mass Market","Married",NA,NA,NA,1,0,NA,0
1346,8,"Female",NA,"No loan",9,29,"Trevascus",58,NA,0,0,6209.51,NA,NA,NA,"Single",24,NA,600,1,118723.11,NA,1
1347,1,"Female",NA,NA,8,27,"Yeh",NA,"France",NA,1,NA,0,NA,"Mass Market",NA,40,NA,NA,NA,94968.97,NA,0
1348,3,"Male",NA,NA,NA,23,"Favors",37,"France",0,1,20603.32,1,207.352595662904,NA,"Married",38,NA,537,NA,0,2,0
1349,7,"Male",NA,NA,10,26,NA,NA,NA,0,0,49424.6,1,125.379723716828,"Mass Market",NA,81,NA,438,1,78391.17,1,0
1350,NA,NA,"University","No loan",NA,43,"Burgin",52,NA,0,1,NA,0,NA,NA,NA,55,NA,NA,1,65971.61,2,1
1351,5,"Female","University","No loan",9,NA,"Chen",42,"Spain",0,0,24210.56,0,NA,"Mass Market","Married",NA,NA,701,1,0,2,0
1352,NA,NA,"University",NA,NA,NA,"Carter",50,NA,0,NA,22457.25,0,71.877810294018,NA,NA,53,NA,803,1,98173.02,1,1
1353,9,NA,"Postgraduate","Active loan",3,28,"Dumetochukwu",29,"France",1,1,190035.83,0,79.4074722752516,NA,NA,NA,NA,NA,0,NA,NA,0
1354,5,"Female",NA,NA,NA,30,"Lo",NA,"France",0,1,151871.84,NA,NA,"Mass Market","Married",82,NA,NA,1,0,2,0
1355,NA,NA,"High School","No loan",2,36,"Giordano",37,"France",0,1,NA,1,184.648219817706,"Affluent",NA,68,NA,NA,NA,0,2,0
1356,NA,"Female","University","No loan",8,NA,"Meng",NA,NA,0,NA,191604.27,0,56.0170380902538,"Mass Market","Married",75,NA,NA,NA,148326.09,NA,1
1357,NA,"Male","High School","Active loan",4,34,"Johnson",39,"Spain",NA,NA,NA,0,154.042918439454,NA,NA,84,NA,667,0,0,2,0
1358,6,"Male","University","No loan",10,34,"Tang",47,"France",NA,1,90055.08,1,155.59281007804,"Mass Market","Married",66,NA,497,1,0,1,0
1359,6,"Female","University","No loan",9,NA,"Loggia",45,"Germany",0,NA,115022.94,NA,157.809213060056,NA,"Married",82,NA,628,1,NA,NA,0
1360,3,"Female","University",NA,NA,NA,NA,NA,"Germany",0,1,86383.61,1,121.810604412072,"Mass Market","Married",70,NA,NA,1,139603.22,1,0
1361,NA,NA,"High School",NA,6,32,"Afanasyev",NA,"Germany",NA,NA,NA,NA,83.869157643355,"Affluent",NA,55,NA,850,NA,99219.47,NA,0
1362,8,"Male","Postgraduate","Active loan",1,NA,"Venables",NA,"Spain",1,NA,NA,NA,36.4155955142392,"High Net Worth","Divorced",85,NA,548,0,0,NA,0
1363,NA,"Male",NA,"No loan",10,NA,"Ma",61,"France",0,0,50368.63,1,75.4769733577574,"Mass Market","Married",36,NA,633,1,157201.48,1,0
1364,NA,"Female","University",NA,8,NA,"Pavlova",NA,"Spain",0,NA,63051.32,NA,201.076900310994,NA,NA,NA,NA,719,1,116393.59,1,1
1365,9,NA,"Postgraduate","Default risk",1,NA,"Baker",36,"Germany",NA,0,72350.17,0,94.4903394067349,"High Net Worth","Divorced",56,NA,652,0,150956.71,1,0
1366,9,"Female","University","No loan",NA,39,NA,41,"France",0,NA,135635.25,0,86.0971691640759,NA,NA,64,NA,552,NA,124349.34,NA,0
1367,NA,"Male","High School",NA,2,31,"P'eng",44,"Spain",0,1,104240.77,0,172.061753917639,"Affluent","Single",77,NA,NA,NA,89118.26,NA,1
1368,4,"Male",NA,NA,10,27,"Tien",32,NA,0,1,120594.85,NA,NA,"Mass Market","Married",NA,NA,609,1,NA,1,0
1369,8,"Female","University","No loan",9,37,"Glover",49,"France",0,1,182865.09,1,93.430432019481,"Mass Market",NA,57,NA,NA,1,0,1,1
1370,2,"Male","University","No loan",9,34,"Graham",29,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,701,1,NA,2,0
1371,7,"Male","University","No loan",9,29,"Sharpe",60,NA,NA,NA,NA,NA,100.618744869117,"Mass Market",NA,NA,NA,499,1,76961.6,2,0
1372,9,"Female","High School","No loan",NA,NA,"Fenton",NA,NA,NA,0,77500.81,0,33.7881168659366,NA,"Single",NA,NA,614,1,106414.57,NA,0
1373,5,"Male","University",NA,8,32,"Field",53,"Germany",0,NA,165378.66,0,NA,NA,NA,61,NA,553,1,127997.83,1,1
1374,1,"Male",NA,"No loan",2,37,NA,26,"Germany",0,1,24411.02,1,NA,"Affluent","Single",NA,NA,558,1,148853.29,2,0
1375,9,NA,NA,NA,NA,22,"Zetticci",26,"Spain",0,NA,158918.03,NA,125.605000731037,NA,"Married",47,NA,555,1,0,2,0
1376,NA,"Female","University","No loan",8,29,"Duncan",22,"Spain",0,NA,163534.75,1,272.178790741219,"Mass Market","Married",47,NA,588,1,67178.19,1,1
1377,NA,"Male",NA,"No loan",9,37,"Atkins",47,"France",0,1,50695.93,0,NA,"Mass Market","Married",68,NA,653,1,NA,1,1
1378,7,"Female","University",NA,10,37,"Fedorov",41,"France",0,1,166526.26,0,NA,NA,NA,65,NA,794,1,NA,3,1
1379,NA,"Female","High School",NA,6,34,NA,NA,"France",0,1,NA,1,190.649213508813,"Affluent",NA,61,NA,426,0,0,NA,0
1380,NA,"Male",NA,"Active loan",NA,20,"Hsiung",30,"Germany",NA,1,57896.27,NA,224.091533316782,NA,NA,73,NA,NA,0,110824.52,1,0
1381,NA,"Male","University","No loan",8,NA,NA,24,"France",0,0,NA,1,76.527506851218,"Mass Market","Married",78,NA,576,1,0,1,1
1382,3,"Female",NA,"No loan",NA,37,"Palermo",NA,"Spain",0,1,NA,0,68.9813463679835,"Mass Market",NA,64,NA,NA,NA,151709.33,NA,0
1383,10,NA,"University","No loan",8,24,"Earl",NA,NA,NA,1,NA,NA,43.8731404398012,NA,"Married",NA,NA,547,1,127738.75,2,0
1384,4,"Female","High School",NA,2,27,"Ikemefuna",30,"Germany",0,NA,121151.46,1,131.079981318556,"Affluent","Single",43,NA,NA,NA,NA,NA,0
1385,5,NA,NA,"No loan",10,33,"Lung",NA,NA,NA,0,184524.74,1,100.921581443625,"Mass Market","Married",NA,NA,810,1,NA,2,0
1386,1,"Female",NA,"No loan",9,NA,"Rosas",69,NA,0,0,134260.34,1,33.6119561375876,NA,"Married",72,NA,NA,NA,105303.73,1,0
1387,4,"Female",NA,"No loan",8,36,NA,31,"France",0,1,106636.89,NA,60.6377069469756,"Mass Market",NA,NA,NA,714,1,125169.26,1,0
1388,10,"Male","High School","Active loan",7,38,"Rowley",NA,NA,0,0,61666.87,0,143.49972550921,"Affluent",NA,41,NA,756,NA,122647.32,NA,0
1389,8,"Male",NA,"Active loan",3,22,"Odell",29,"France",NA,NA,NA,1,95.6764461804362,"High Net Worth","Divorced",86,NA,842,0,0,2,0
1390,0,"Male","University",NA,NA,26,NA,56,"Germany",0,1,NA,0,NA,"Mass Market",NA,86,NA,NA,NA,148507.24,NA,1
1391,8,"Male","University","No loan",10,27,"Kent",28,"Spain",NA,0,197588.32,0,NA,"Mass Market","Married",51,NA,540,1,0,NA,0
1392,NA,NA,"High School","Active loan",5,36,"Bruno",33,"France",0,1,59659.53,NA,76.1755505511155,"Affluent","Single",50,NA,493,1,90791.69,1,0
1393,8,NA,"High School","No loan",2,NA,"She",NA,"France",0,NA,194563.65,1,118.870076680425,NA,NA,46,NA,746,1,166883.07,2,0
1394,NA,NA,"High School","Active loan",NA,40,"Caldwell",62,"France",0,1,30990.16,NA,NA,NA,"Single",29,NA,729,0,140549.4,NA,1
1395,NA,NA,"High School",NA,7,33,"Watkins",30,"Germany",0,1,40199.01,1,107.969539452073,"Affluent","Single",47,NA,627,NA,128770.88,NA,0
1396,NA,NA,"High School","No loan",5,NA,"Thornton",39,NA,NA,NA,34430.16,0,NA,NA,"Single",69,NA,754,1,NA,1,0
1397,9,"Male","High School",NA,7,28,"Chikwendu",34,"Spain",0,1,66695.71,1,46.8263591541391,"Affluent","Single",37,NA,716,0,0,1,0
1398,0,NA,"University","No loan",8,27,"Goloubev",32,NA,0,NA,126675.62,NA,73.4933975363878,"Mass Market","Married",NA,NA,NA,1,0,NA,0
1399,9,NA,"University",NA,10,NA,"Goddard",27,NA,0,1,142680.64,0,200.772174412523,NA,"Married",68,NA,516,NA,0,1,1
1400,1,"Female","University","No loan",9,NA,"Findlay",40,"France",NA,1,NA,0,89.8641515303597,"Mass Market",NA,NA,NA,495,NA,140197.71,2,0
1401,NA,NA,"High School","No loan",9,NA,NA,NA,"Spain",NA,NA,127654.37,1,NA,"Mass Market","Married",NA,NA,704,NA,NA,1,0
1402,5,"Female","High School","No loan",2,26,NA,NA,"France",0,0,190857.79,NA,NA,NA,"Single",NA,NA,NA,1,0,NA,0
1403,2,"Male",NA,"Default risk",NA,38,"Artyomova",38,"Spain",2,1,59297.34,1,NA,NA,"Divorced",83,NA,NA,0,0,2,0
1404,NA,"Female","University","No loan",NA,NA,NA,NA,"Spain",NA,NA,NA,1,153.395013296052,"Mass Market",NA,57,NA,NA,1,156371.61,2,1
1405,6,NA,NA,NA,5,27,"Rozhkova",NA,"Germany",0,NA,NA,0,NA,"Affluent","Single",NA,NA,581,1,116891.72,1,0
1406,7,NA,"Postgraduate","Active loan",7,31,"Fyans",NA,NA,1,NA,184839.7,NA,136.067929627957,"High Net Worth",NA,NA,NA,NA,NA,NA,NA,1
1407,8,NA,"High School","Active loan",6,24,NA,40,"Germany",0,1,62027.9,0,173.812672213421,"Affluent","Single",84,NA,725,NA,104149.66,NA,0
1408,NA,NA,"Postgraduate",NA,NA,25,"Shih",46,"France",1,0,122953,0,NA,"High Net Worth","Divorced",55,NA,475,NA,0,NA,1
1409,5,NA,"High School","Active loan",4,20,"Barton",38,"France",0,1,156439.56,NA,72.5298579736902,"Affluent","Single",NA,NA,665,0,0,2,0
1410,NA,NA,NA,"Active loan",6,31,"Martin",30,"Germany",0,NA,44114.88,1,50.3493719764897,"Affluent","Single",71,NA,569,NA,106629.49,1,0
1411,5,"Female","University","No loan",NA,38,"Sung",NA,NA,0,NA,143481.85,NA,91.7593547827587,"Mass Market","Married",29,NA,723,NA,NA,NA,0
1412,8,NA,"University",NA,8,35,"Aikenhead",52,"Spain",0,NA,NA,0,72.0568766572711,"Mass Market","Married",NA,NA,358,1,143542.36,3,1
1413,NA,"Female",NA,NA,NA,34,"Conti",36,"Spain",4,1,14721.8,NA,87.9402900018315,"High Net Worth",NA,NA,NA,530,0,0,2,0
1414,NA,"Male","University",NA,9,33,"Ho",42,"Spain",0,1,89123.99,0,86.614258626794,"Mass Market","Married",55,NA,648,1,NA,2,0
1415,3,"Female","University",NA,8,25,"Yocum",46,NA,0,1,156260.08,NA,NA,NA,NA,64,NA,NA,NA,NA,1,0
1416,NA,"Male","High School",NA,NA,23,"Groves",44,"Germany",0,NA,NA,NA,108.301314799887,NA,NA,62,NA,756,NA,137452.09,1,0
1417,5,"Female","High School",NA,NA,25,"Johnston",52,"Spain",0,0,98302.57,NA,NA,"Affluent","Single",NA,NA,612,0,144772.69,NA,1
1418,4,NA,NA,"Active loan",6,21,NA,46,NA,0,1,1907.66,0,247.124333869815,NA,"Single",87,NA,493,0,0,2,0
